Year,Month,Day,Volcano Name,ID,Type,VEI,Latitude,Longitude
1970,5,11,Karymsky,19184,Eruptions,3.0,54.049,159.44299999999998
1970,5,20,Langila,14995,Eruptions,2.0,-5.525,148.42
1970,5,21,Bagana,15137,Eruptions,2.0,-6.1370000000000005,155.196
1970,5,26,Klyuchevskoy,19456,Eruptions,2.0,56.056000000000004,160.642
1970,6,5,Kanlaon,16733,Eruptions,1.0,10.412,123.132
1970,4,21,Asosan,17335,Eruptions,2.0,32.884,131.10399999999998
1971,9,19,Etna,13799,Eruptions,2.0,37.748000000000005,14.999
1971,8,12,"Hudson, Cerro",12298,Eruptions,3.0,-45.9,-72.97
1971,8,14,Kilauea,10106,Eruptions,0.0,19.421,-155.287
1971,9,6,Rocard,10256,Eruptions,0.0,-17.662,-148.586
1971,9,6,Tinakula,15201,Eruptions,2.0,-10.386,165.804
1971,9,14,Fuego,10725,Eruptions,3.0,14.472999999999999,-90.88
1971,9,24,Kilauea,10107,Eruptions,0.0,19.421,-155.287
1971,8,5,Kirishimayama,17160,Eruptions,1.0,31.934,130.862
1971,10,7,Augustine,20271,Eruptions,1.0,59.363,-153.43
1971,10,26,La Palma,13058,Eruptions,2.0,28.57,-17.83
1971,10,29,Villarrica,12165,Eruptions,2.0,-39.42,-71.93
1971,10,29,Sundoro,15804,Eruptions,2.0,-7.3,109.992
1971,11,16,Klyuchevskoy,19458,Eruptions,1.0,56.056000000000004,160.642
1971,12,1,Llaima,12064,Eruptions,2.0,-38.692,-71.729
1971,10,4,Soufriere St. Vincent,12454,Eruptions,0.0,13.33,-61.18
1971,7,19,White Island,14485,Eruptions,2.0,-37.52,177.18
1971,9,14,Raung,16139,Eruptions,1.0,-8.119,114.056
1971,6,16,Klyuchevskoy,19457,Eruptions,1.0,56.056000000000004,160.642
1971,7,16,Chiginagak,20198,Eruptions,2.0,57.135,-156.99
1971,1,26,Langila,14996,Eruptions,2.0,-5.525,148.42
1971,2,3,Ambrym,15275,Eruptions,2.0,-16.25,168.12
1971,2,22,Kuwae,15344,Eruptions,2.0,-16.829,168.53599999999997
1971,3,11,Batur,16199,Eruptions,1.0,-8.242,115.375
1971,3,16,Bezymianny,19349,Eruptions,3.0,55.972,160.595
1971,3,24,Nyamuragira,14067,Eruptions,3.0,-1.4080000000000001,29.2
1971,4,3,Ruapehu,14638,Eruptions,2.0,-39.28,175.57
1971,2,3,"Negro, Cerro",10964,Eruptions,3.0,12.505999999999998,-86.70200000000001
1971,4,5,Etna,13798,Eruptions,2.0,37.748000000000005,14.999
1971,1,16,Lewotobi,16296,Eruptions,2.0,-8.542,122.775
1971,4,9,White Island,14484,Eruptions,2.0,-37.52,177.18
1971,5,3,San Cristobal,10880,Eruptions,1.0,12.702,-87.00399999999999
